식품명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식품중량
꼬치구이_닭모래집_고추장,구이류,꼬치구이,100ml,122,22.6,2.38,1.33,126ml
깻잎나물,나물·숙채류,깻잎나물,100g,78,2.68,5.18,5.04,50g
깻잎나물,나물·숙채류,깻잎나물,100ml,47,2.8,1.91,6.25,70ml
깻잎나물,나물·숙채류,깻잎나물,100ml,47,2.8,1.91,6.25,70ml
깻잎나물,나물·숙채류,깻잎나물,100ml,63,2.7,3.7,6,88.4
깻잎나물_깻잎,나물·숙채류,깻잎나물,100ml,33,2.12,1.33,4.36,50ml
깻잎나물볶음,나물·숙채류,깻잎나물볶음,100g,103,3.75,7.2,5.75,200g
깻잎장아찌,장아찌·절임류,깻잎장아찌,100ml,65,3.7,0.72,12.9,82.9
깻잎전,전·적 및 부침류,깻잎전,100ml,215,12,10.42,16.92,72.8
깻잎전,전·적 및 부침류,깻잎전,100g,241,11.82,17.18,9.7,150g
깻잎전,전·적 및 부침류,깻잎전,100ml,215,11.9,10.21,17.53,72.8
깻잎전,전·적 및 부침류,깻잎전,100ml,71,3.9,3.3,5.87,146.1
깻잎찜,찜류,깻잎찜,100ml,48,3.04,1.02,8.1,40ml
깻잎찜,찜류,깻잎찜,100g,112,3.96,4.6,13.6,100g
깻잎찜,찜류,깻잎찜,100ml,30,1.7,0.91,4.59,50ml
